,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,Alc_Tot,Cond_elec,Dur_Tot,SDT,Fe_Tot,Mn_Tot,Fluo,CF,N_NO3,As_Tot,Cd_Tot,Cr_Tot,Hg_Tot,Pb_Tot
424,OCNOR4179,OCNOR4179-040922,LA COLORADA,SUBTERRÁNEO,2022-08-31 00:00:00,2022,250.6,714.0,292.9,459.0,0.0041,0.00021,0.76,10.0,6.381,0.0015,0.00130148,0.0012,0.000201289,0.00154
425,OCNOR4211,OCNOR4211-021022,OOMAPAS NO. 5,SUBTERRÁNEO,2022-09-23 00:00:00,2022,168.5,1817.0,70.6,1001.0,0.036,0.00021,6.13,282.0,6.23,0.0087,0.00130148,0.042,0.000201289,0.00154
426,OCNOR4212,OCNOR4212-021022,OOMAPAS NO 2,SUBTERRÁNEO,2022-09-23 00:00:00,2022,238.5,1934.0,105.9,1112.3,0.049,0.00021,5.38,496.0,1.641,0.029,0.00130148,0.006,0.000201289,0.00154
427,OCNOR4221,OCNOR4221-021022,EL VENTARRON,SUBTERRÁNEO,2022-09-23 00:00:00,2022,233.4,982.0,263.8,616.6,0.037,0.00021,0.74,10.0,6.822,0.043,0.00130148,0.0023,0.000201289,0.00154
428,OCNOR4224M1,OCNOR4224M1-021022,POZO QUITOVAC,SUBTERRÁNEO,2022-09-23 00:00:00,2022,293.3,1590.0,301.2,951.0,0.051,0.005,1.86,10.0,3.433,0.057,0.00130148,0.0039,0.000201289,0.00154
429,OCNOR4214,OCNOR4214-021022,OOMAPAS 6 PEÑASCO,SUBTERRÁNEO,2022-09-23 00:00:00,2022,231.4,1790.0,76.9,1033.0,0.036,0.001,4.59,10.0,1.685,0.023,0.00130148,0.007,0.000201289,0.00154
430,OCNOR6228,OCNOR6228-040922,SAN JOSE DE PIMAS,SUBTERRÁNEO,2022-08-31 00:00:00,2022,328.8,777.0,322.6,475.8,0.0041,0.00021,0.3,31.0,5.403,0.0015,0.00130148,0.0012,0.000201289,0.00154
431,OCNOR4225,OCNOR4225-021022,PUBLICO URBANO SONOITA,SUBTERRÁNEO,2022-09-23 00:00:00,2022,170.5,1517.0,205.7,951.7,0.0053,0.00021,3.58,98.0,7.538,0.017,0.00130148,0.015,0.000201289,0.00154
432,OCNOR6275,OCNOR6275-210822,ORG. OPER. CANANEA,SUBTERRÁNEO,2022-08-15 00:00:00,2022,126.0,270.0,92.4,174.8,0.046,0.00021,0.41,31.0,0.784,0.0015,0.00130148,0.006,0.000201289,0.00154
433,OCNOR6295,OCNOR6295-310722,POZO ZAMORA,SUBTERRÁNEO,2022-07-30 00:00:00,2022,138.1,768.0,78.0,441.0,0.015,0.00021,2.4,20.0,3.389,0.019,0.00130148,0.016,0.000201289,0.00154
434,OCNOR6251,OCNOR6251-210822,URES,SUBTERRÁNEO,2022-08-18 00:00:00,2022,239.8,1012.0,397.6,728.0,1.258,0.008,0.46,31.0,7.285,0.0015,0.00130148,0.0012,0.000201289,0.00154
435,OCNOR6242,OCNOR6242-140822,BAVIACORA POZO 1,SUBTERRÁNEO,2022-10-03 00:00:00,2022,325.8,1411.0,601.8,1068.0,0.0041,0.00021,0.42,41.0,7.431,0.00905,0.00130148,0.0012,0.000201289,0.00154
436,OCNOR6244,OCNOR6244-140822,HUEPAC,SUBTERRÁNEO,2022-08-10 00:00:00,2022,293.9,958.0,354.0,673.4,0.0079,0.00021,0.51,31.0,3.917,0.0074,0.00130148,0.0012,0.000201289,0.00154
437,OCNOR6503,OCNOR6503-140822,BAVIACORA 1,SUBTERRÁNEO,2022-10-03 00:00:00,2022,177.6,758.0,298.9,536.6,0.024,0.00021,0.29,10.0,1.99,0.0076,0.00130148,0.00185,0.000201289,0.00154
438,OCNOR6239,OCNOR6239-140822,ACONCHI,SUBTERRÁNEO,2022-08-11 00:00:00,2022,308.3,1144.0,384.0,821.0,0.0041,0.00021,0.48,20.0,5.166,0.0015,0.00130148,0.0012,0.000201289,0.00154
439,OCNOR6311,OCNOR6311-280822,POZO NORIA EL BABURO,SUBTERRÁNEO,2022-08-23 00:00:00,2022,362.4,2072.0,401.6,1345.0,0.053,0.672,0.58,1274.0,0.031,0.043,0.00130148,0.0012,0.000201289,0.00154
440,OCNOR6312,OCNOR6312-280822,POZO BUIYARUMO,SUBTERRÁNEO,2022-08-23 00:00:00,2022,289.7,851.0,114.5,535.8,0.0041,0.311,0.93,10.0,0.041,0.064,0.00130148,0.0012,0.000201289,0.00154
441,OCNOR6248,OCNOR6248-140822,SAN FELIPE DE JESUS,SUBTERRÁNEO,2022-09-30 00:00:00,2022,65.0,189.0,70.8,129.4,0.036,0.002,0.47,10.0,1.391,0.0015,0.00130148,0.0012,0.000201289,0.00154
443,OCNOR6310,OCNOR6310-280822,POZO EL CARO AGUA POTABLE,SUBTERRÁNEO,2022-08-23 00:00:00,2022,372.2,1936.0,126.5,1200.0,0.026,0.112,0.58,10.0,0.031,0.083,0.00130148,0.0012,0.000201289,0.00154
