,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,SST,CF,E_COLI,ODs%,ODm%,ODf%,DBO5,DQO,TOX_D48s,TOX_D48f,TOX_F15s,TOX_F15f
302,OCPNO4543,OCPNO4543-070822,PRESA LUIS DONALDO COLOSIO 2,LÉNTICO,2022-08-05 00:00:00,2022,10.0,1464.0,10.0,141.2,30.0,21.5,4.92,10.92,1.0,1.0,1.0,1.0
308,OCPNO4580,OCPNO4580-210822,PRESA JOSE LOPEZ PORTILLO 1,LÉNTICO (HUMEDAL),2022-08-19 00:00:00,2022,11.5,63.0,10.0,113.8,39.8,25.7,2.0,10.0,1.0,1.0,1.0,1.0
309,OCPNO4581,OCPNO4581-210822,PRESA JOSE LOPEZ PORTILLO 2,LÉNTICO (HUMEDAL),2022-08-19 00:00:00,2022,25.3,41.0,10.0,123.2,39.1,33.0,2.0,10.0,1.0,1.0,1.0,1.0
310,OCPNO4582,OCPNO4582-210822,PRESA JOSE LOPEZ PORTILLO 3,LÉNTICO (HUMEDAL),2022-08-19 00:00:00,2022,26.7,203.0,10.0,128.3,73.9,29.1,2.0,10.0,1.0,1.0,1.0,1.0
311,OCPNO4584,OCPNO4584-210822,PRESA JOSE LOPEZ PORTILLO 5,LÉNTICO (HUMEDAL),2022-08-19 00:00:00,2022,268.2,689.0,20.0,125.8,62.9,27.8,2.0,22.46,1.0,1.0,1.0,1.0
312,OCPNO4589,OCPNO4589-040922,PRESA AURELIO BENASSINI VIZCAINO 3,LÉNTICO (HUMEDAL),2022-10-28 00:00:00,2022,10.0,1050.0,10.0,103.3,46.3,44.4,2.0,10.0,1.0,1.0,1.0,1.0
313,OCPNO4583,OCPNO4583-210822,PRESA JOSE LOPEZ PORTILLO 4,LÉNTICO (HUMEDAL),2022-08-19 00:00:00,2022,26.0,203.0,10.0,134.7,63.7,29.1,2.0,10.0,1.0,1.0,1.0,1.0
314,OCPNO4590,OCPNO4590-040922,PRESA AURELIO BENASSINI VIZCAINO 2,LÉNTICO (HUMEDAL),2022-10-28 00:00:00,2022,12.2,960.0,10.0,99.6,88.8,40.1,2.0,10.0,1.0,1.0,1.0,1.0
315,OCPNO4591,OCPNO4591-040922,PRESA AURELIO BENASSINI VIZCAINO 1,LÉNTICO (HUMEDAL),2022-10-28 00:00:00,2022,10.0,12033.0,10.0,95.9,77.3,53.1,2.0,10.0,1.0,1.0,1.0,1.0
321,OCPNO4673,OCPNO4673-210822,PRESA GUSTAVO DIAZ ORDAZ 4,LÉNTICO (HUMEDAL),2022-08-21 00:00:00,2022,83.3,689.0,10.0,148.8,103.4,64.5,4.1,10.0,1.0,1.0,1.0,1.0
322,OCPNO4674,OCPNO4674-210822,PRESA GUSTAVO DIAZ ORDAZ 2,LÉNTICO (HUMEDAL),2022-08-21 00:00:00,2022,101.8,1354.0,10.0,144.2,110.0,85.1,2.0,10.0,1.0,1.0,1.0,1.0
323,OCPNO4675,OCPNO4675-210822,PRESA GUSTAVO DIAZ ORDAZ 1,LÉNTICO (HUMEDAL),2022-08-21 00:00:00,2022,42.1,41.0,10.0,147.7,46.5,28.3,2.0,11.65,1.0,1.0,1.0,1.0
325,OCRBR5072M1,OCRBR5072M1-140822,FRENTE A COMPUERTAS PRESA LA BOCA,LÉNTICO (HUMEDAL),2022-08-12 00:00:00,2022,16.0,2400.0,2400.0,78.0,65.0,42.0,4.52,62.72,1.0,1.0,1.0,1.0
326,OCRBR5058M1,OCRBR5058M1-140822,OBRA DE TOMA PRESA EL CUCHILLO,LÉNTICO,2022-08-10 00:00:00,2022,23.0,2400.0,2400.0,80.0,78.0,70.0,3.4,30.67,1.0,1.0,1.0,1.0
327,OCRBR5071M1,OCRBR5071M1-140822,PRESA RODRIGO GOMEZ(LA BOCA),LÉNTICO,2022-08-12 00:00:00,2022,31.0,2400.0,2400.0,79.0,67.0,49.0,3.03,22.22,1.0,1.0,1.0,1.0
328,OCRBR5057M1,OCRBR5057M1-140822,CORTINA PRESA EL CUCHILLO,LÉNTICO,2022-08-10 00:00:00,2022,16.0,2400.0,2400.0,92.0,71.0,65.0,3.1,35.92,1.0,1.0,1.0,1.0
337,OCAVM2768,OCAVM2768-040922,PRESA MADIN 1,LÉNTICO,2022-09-01 00:00:00,2022,18.0,2400.0,2400.0,58.1,14.3,10.0,14.85,30.46,1.0,1.0,1.0,1.0
339,OCAVM2769,OCAVM2769-040922,PRESA MADIN 2,LÉNTICO,2022-09-01 00:00:00,2022,30.0,2400.0,1100.0,94.3,36.8,10.0,13.02,30.94,1.0,1.0,1.0,1.0
345,OCPSU4715,OCPSU4715-110922,PRESA BENITO JUAREZ 3,LÉNTICO (HUMEDAL),2022-09-05 00:00:00,2022,18.3,15531.0,10.0,89.6,64.9,54.8,10.0,20.9,1.0,1.0,1.0,1.0
377,PRESA CAROLINO ANAYA,PRESA CAROLINO ANAYA-131122,PRESA CAROLINO ANAYA,LÉNTICO,2022-11-08 00:00:00,2022,16.0,1200.0,430.0,98.1,94.5,85.9,2.53,35.66,1.0,1.0,1.0,1.0
