,CLAVE SITIO,CLAVE MONITOREO,NOMBRE DEL SITIO,TIPO CUERPO DE AGUA,FECHA REALIZACIÓN,AÑO,SST,CF,E_COLI,OD%,DBO5,DQO,TOX_D48,TOX_V15
548,OCNOR4188,OCNOR4188-110922,RIO MAYO 6,LÓTICO (HUMEDAL),2022-10-07,2022,10.0,1793.0,10.0,84.2,2.0,10.0,1.0,1.0
550,OCNOR4191,OCNOR4191-280822,RIO MAYO 7,LÓTICO,2022-08-24,2022,48.6,6488.0,318.0,150.8,2.0,17.56,1.0,1.0
551,OCNOR4189,OCNOR4189-110922,RIO MAYO 8,LÓTICO,2022-09-09,2022,31.2,2359.0,84.0,108.4,15.7,19.32,1.0,1.0
552,OCNOR4190,OCNOR4190-110922,RIO MAYO 9,LÓTICO,2022-09-09,2022,31.6,1956.0,63.0,111.8,18.0,20.26,1.0,1.0
553,OCPBC4232,OCPBC4232-180922,RIO TIJUANA,LÓTICO,2022-09-13,2022,96.2,241960.0,241960.0,21.1,104.5,195.33,1.0,1.0
554,OCPBC4236,OCPBC4236-180922,RIO TIJUANA 2,LÓTICO,2022-09-13,2022,156.5,24196.0,24196.0,96.7,81.0,134.97,1.0,1.0
555,OCPBC4237,OCPBC4237-180922,RIO TIJUANA 1,LÓTICO,2022-09-13,2022,17.1,24196.0,24196.0,18.1,26.3,73.05,1.0,1.0
557,OCPBC4235,OCPBC4235-180922,RIO TIJUANA 3,LÓTICO,2022-09-13,2022,93.8,24196.0,24196.0,122.2,63.6,139.97,1.0,1.0
558,OCNOR6515,OCNOR6515-070822,HACIA EL ACUEDUCTO,LÓTICO,2022-08-01,2022,13.8,17329.0,52.0,96.8,2.0,10.0,1.0,1.0
559,OCPBC4233,OCPBC4233-180922,RIO TIJUANA 4,LÓTICO,2022-09-13,2022,142.5,24196.0,24196.0,73.5,130.0,205.95,1.0,1.0
560,OCPBC4373M1,OCPBC4373M1-180922,RIO TIJUANA (LIMITE INTERNACIONAL),LÓTICO,2022-09-13,2022,110.0,241960.0,241960.0,10.0,114.5,206.26,1.0,1.0
561,OCPBC4383,OCPBC4383-250922,RIO COLORADO 12,LÓTICO,2022-09-19,2022,18.5,24196.0,20.0,107.5,4.16,63.64,1.0,1.0
562,OCPBC4384,OCPBC4384-250922,RIO COLORADO 14,LÓTICO,2022-09-19,2022,45.1,19863.0,132.0,108.1,5.24,79.64,1.0,1.0
563,OCPNO4455,OCPNO4455-310722,RIO CULIACAN PUENTE USE,LÓTICO,2022-07-25,2022,18.7,6867.0,717.0,135.9,3.54,10.0,1.0,1.0
564,OCPNO4456,OCPNO4456-310722,RIO CULIACAN 4,LÓTICO,2022-08-25,2022,30.8,24196.0,24196.0,88.2,8.1,35.03,1.0,1.0
565,OCPNO4449M1,OCPNO4449M1-310722,RIO CULIACAN 5,LÓTICO,2022-07-25,2022,43.5,24196.0,24196.0,74.7,2.0,10.0,1.0,1.0
566,OCPNO4448,OCPNO4448-310722,PUENTE NEGRO,LÓTICO,2022-07-25,2022,26.4,24196.0,15531.0,71.5,2.0,10.0,1.0,1.0
567,OCPNO4459,OCPNO4459-310722,SAN PEDRO,LÓTICO,2022-10-30,2022,42.4,12997.0,4611.0,90.4,15.8,34.92,1.0,1.0
568,OCPNO4466,OCPNO4466-280822,PUENTE LIMONCITO,LÓTICO,2022-10-30,2022,57.6,24196.0,232.0,112.5,2.0,17.39,1.0,1.0
569,OCPNO4467M1,OCPNO4467M1-310722,RH10-2 SINALOA,LÓTICO,2022-07-26,2022,14.9,9208.0,10.0,92.3,2.0,10.0,1.0,1.0
570,OCPNO4464M1,OCPNO4464M1-310722,RIO CULIACAN LA PIPIMA,LÓTICO,2022-07-27,2022,38.6,15531.0,441.0,135.3,3.32,10.0,1.0,1.0
573,OCPNO4485,OCPNO4485-040922,RIO CULIACAN 7,LÓTICO,2022-08-30,2022,66.0,24196.0,650.0,85.2,2.0,10.0,1.0,1.0
574,OCPNO4503W1,OCPNO4503W1-070822,RH10-1 SINALOA,LÓTICO (HUMEDAL),2022-08-03,2022,218.8,22470.0,630.0,54.8,7.5,10.92,1.0,1.0
575,OCPNO4504,OCPNO4504-070822,LA BRECHA,LÓTICO,2022-08-03,2022,130.6,241960.0,3110.0,56.5,10.2,13.44,1.0,1.0
576,OCPNO4501,OCPNO4501-070822,SALIDA DE LA PRESA EUSTAQUIO BUELNA,LÓTICO (HUMEDAL),2022-08-02,2022,11.5,75.0,10.0,138.1,2.0,15.96,1.0,1.0
577,OCPNO4508,OCPNO4508-140822,VADO DE GUASAVE,LÓTICO,2022-08-08,2022,113.1,5794.0,767.0,70.5,10.0,14.14,1.0,1.0
578,OCPNO4505,OCPNO4505-070822,RIO SINALOA 5,LÓTICO,2022-08-03,2022,53.1,4260.0,520.0,53.8,10.5,13.44,1.0,1.0
579,OCPNO4506,OCPNO4506-140822,RIO SINALOA 6,LÓTICO,2022-08-08,2022,126.0,4611.0,594.0,75.7,10.3,13.31,1.0,1.0
580,OCPNO4527,OCPNO4527-140822,RIO FUERTE 1,LÓTICO,2022-09-09,2022,10.0,4106.0,462.0,29.2,4.1,11.82,1.0,1.0
581,OCPNO4528,OCPNO4528-140822,PUENTE SAN MIGUEL ZAPOTITLAN,LÓTICO (HUMEDAL),2022-09-05,2022,10.0,17329.0,2014.0,43.9,2.0,34.15,1.0,1.0
